Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-01-02 00:00:00-05:00,41.036789383392495,42.18802733864023,40.91837587768609,41.938045501708984,8652700,0.0,0.0
2009-01-05 00:00:00-05:00,41.61568423203452,41.9972393015192,41.37227988293473,41.81304168701172,7692900,0.0,0.0
2009-01-06 00:00:00-05:00,42.095925604115415,42.40511415417616,40.67496622770461,40.87889862060547,10855700,0.0,0.0
2009-01-07 00:00:00-05:00,40.7407398626912,41.16176438259208,40.023681693014986,40.28682327270508,7910400,0.0,0.0
2009-01-08 00:00:00-05:00,40.01711008069825,40.01711008069825,39.27373714344825,39.813175201416016,9382300,0.0,0.0
2009-01-09 00:00:00-05:00,39.93816784895943,40.0960533285046,39.37241510238736,39.51714324951172,7150700,0.0,0.0
2009-01-12 00:00:00-05:00,39.536867734659154,40.28024051177051,39.306620750799134,39.57633972167969,8682900,0.0,0.0
2009-01-13 00:00:00-05:00,39.67502826480735,39.99737412207939,38.694828341715315,39.02375411987305,9082600,0.0,0.0
2009-01-14 00:00:00-05:00,38.490892638171005,38.56325670934919,37.10940540305737,37.714630126953125,15340200,0.0,0.0
2009-01-15 00:00:00-05:00,37.62910760285003,38.543520817943296,37.20150310926475,38.14223098754883,12166300,0.0,0.0
2009-01-16 00:00:00-05:00,38.64220197168523,39.457936505683485,38.51063115699064,39.25400161743164,12445800,0.0,0.0
2009-01-20 00:00:00-05:00,39.20136094333801,39.339509120668154,37.43831917420841,37.543575286865234,11930300,0.0,0.0
2009-01-21 00:00:00-05:00,38.14222523090742,38.77376199514536,37.60278726443285,38.61587905883789,10261400,0.0,0.0
2009-01-22 00:00:00-05:00,38.20144284292622,39.12243610195734,37.95145852813124,38.62904739379883,10969400,0.0,0.0
2009-01-23 00:00:00-05:00,37.655421396438214,38.62904132647413,37.33307305355599,38.16854476928711,10266100,0.0,0.0
2009-01-26 00:00:00-05:00,37.64884567066334,38.5961510436596,37.135722240645116,38.41853332519531,14106700,0.0,0.0
